#identifier	title	gene symbol	gene chr	gene start	gene end	highlight start	highlight end
Promotor_ATM	Promotor ATM	ATM	chr13	108219803	108223803	108222803	108222803
Promotor_BARD1	Promotor BARD1	BARD1	chr2	214808683	214812683	214809683	214809683
Promotor_BRCA1	Promotor BRCA1	BRCA1	chr17	43169245	43173245	43170245	43170245
Promotor_BRCA2	Promotor BRCA2	BRCA2	chr13	32312085	32316085	32315085	32315085
Promotor_CHEK2	Promotor CHEK2	CHEK2	chr22	28740838	28744838	28741838	28741838
Promotor_CDH1	Promotor CDH1	CDH1	chr16	68734291	68738291	68737291	68737291
Promotor_NF1	Promotor NF1	NF1	chr17	31091926	31095926	31094926	31094926
Promotor_PALB2	Promotor PALB2	PALB2	chr16	23640321	23644321	23641321	23641321
Promotor_PTEN	Promotor PTEN	PTEN	chr10	87861637	87865637	87862637	87862637
Promotor_RAD51C	Promotor RAD51C	RAD51C	chr17	58691572	58695572	58692572	58692572
Promotor_RAD51D	Promotor RAD51D	RAD51D	chr17	35120481	35124481	35121481	35121481
Promotor_STK11	Promotor STK11	STK11	chr19	1174557	1178557	1177557	1177557
Promotor_TP53	Promotor TP53	TP53	chr17	7686546	7690546	7687546	7687546
