#filter: gap.type = 'telomere'
#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
585	chr1	0	10000	1	N	10000	telomere	no
2484	chr1	248946422	248956422	3281	N	10000	telomere	no
585	chr2	0	10000	1	N	10000	telomere	no
2432	chr2	242183529	242193529	2672	N	10000	telomere	no
585	chr3	0	10000	1	N	10000	telomere	no
2097	chr3	198285559	198295559	2432	N	10000	telomere	no
585	chr4	0	10000	1	N	10000	telomere	no
2036	chr4	190204555	190214555	2036	N	10000	telomere	no
585	chr5	0	10000	1	N	10000	telomere	no
246	chr5	181528259	181538259	3018	N	10000	telomere	no
585	chr6	0	10000	1	N	10000	telomere	no
1888	chr6	170795979	170805979	2489	N	10000	telomere	no
585	chr7	0	10000	1	N	10000	telomere	no
1800	chr7	159335973	159345973	2523	N	10000	telomere	no
585	chr8	0	10000	1	N	10000	telomere	no
1692	chr8	145128636	145138636	2284	N	10000	telomere	no
585	chr9	0	10000	1	N	10000	telomere	no
1640	chr9	138384717	138394717	1258	N	10000	telomere	no
585	chrX	0	10000	1	N	10000	telomere	no
1775	chrX	156030895	156040895	3140	N	10000	telomere	no
585	chrY	0	10000	1	N	10000	telomere	no
1021	chrY	57217415	57227415	400	N	10000	telomere	no
585	chr10	0	10000	1	N	10000	telomere	no
1605	chr10	133787422	133797422	1560	N	10000	telomere	no
585	chr11	0	10000	1	N	10000	telomere	no
1615	chr11	135076622	135086622	2341	N	10000	telomere	no
585	chr12	0	10000	1	N	10000	telomere	no
1601	chr12	133265309	133275309	1695	N	10000	telomere	no
585	chr13	0	10000	1	N	10000	telomere	no
1457	chr13	114354328	114364328	1189	N	10000	telomere	no
585	chr14	0	10000	1	N	10000	telomere	no
1401	chr14	107033718	107043718	1161	N	10000	telomere	no
585	chr15	0	10000	1	N	10000	telomere	no
1363	chr15	101981189	101991189	1113	N	10000	telomere	no
585	chr16	0	10000	1	N	10000	telomere	no
1274	chr16	90328345	90338345	1104	N	10000	telomere	no
585	chr17	0	10000	1	N	10000	telomere	no
1220	chr17	83247441	83257441	1174	N	10000	telomere	no
585	chr18	0	10000	1	N	10000	telomere	no
1198	chr18	80363285	80373285	1011	N	10000	telomere	no
585	chr19	0	10000	1	N	10000	telomere	no
1032	chr19	58607616	58617616	1517	N	10000	telomere	no
585	chr20	0	10000	1	N	10000	telomere	no
1076	chr20	64434167	64444167	1327	N	10000	telomere	no
585	chr21	0	10000	1	N	10000	telomere	no
941	chr21	46699983	46709983	2065	N	10000	telomere	no
585	chr22	0	10000	1	N	10000	telomere	no
972	chr22	50808468	50818468	1153	N	10000	telomere	no
